City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Puerto Ayora,EC,-0.7393,-90.3518,69.55,81,98,8.01,overcast clouds
128,Dakar,SN,14.6937,-17.4441,88.68,70,45,10.76,scattered clouds
129,Pangkalanbuun,ID,-2.6833,111.6167,74.88,96,100,2.28,light rain
130,Emba,KZ,48.8264,58.1442,43.38,56,7,6.31,clear sky
131,Hay River,CA,60.8156,-115.7999,50.58,57,1,10.04,clear sky
132,La Ronge,CA,55.1001,-105.2842,42.55,33,1,13.2,clear sky
133,Irituia,BR,-1.7711,-47.4381,85.86,61,85,2.73,overcast clouds
134,Coquimbo,CL,-29.9533,-71.3436,60.93,71,11,10.98,few clouds
135,Zaoyang,CN,32.1272,112.7542,55.89,41,8,4.36,clear sky
136,Ures,MX,29.4333,-110.4,80.28,37,0,3.76,clear sky
137,Kondinskoye,RU,59.6481,67.41,40.6,85,100,5.68,overcast clouds
138,Lalmohan,BD,22.3384,90.7419,77.54,72,91,7.92,overcast clouds
139,Puerto Escondido,MX,15.85,-97.0667,83.23,61,75,2.3,broken clouds
140,Luba,GQ,3.4568,8.5547,79.66,85,94,7.83,overcast clouds
141,Iqaluit,CA,63.7506,-68.5145,32.7,69,46,18.99,scattered clouds
142,Severo-Kurilsk,RU,50.6789,156.125,50.99,94,95,19.19,light rain
143,Atuona,PF,-9.8,-139.0333,76.05,78,10,15.21,clear sky
144,Dingle,PH,10.9995,122.6711,75.63,92,100,5.68,overcast clouds
145,Baruun-Urt,MN,46.6806,113.2792,25.59,30,1,5.23,clear sky
146,Thompson,CA,55.7435,-97.8558,27.75,66,94,4.0,overcast clouds
147,Hami,CN,42.8,93.45,54.61,21,2,0.69,clear sky
148,Evensk,RU,61.95,159.2333,18.16,72,91,18.86,overcast clouds
149,Clyde River,CA,70.4692,-68.5914,24.69,90,100,17.2,overcast clouds
150,Eureka,US,40.8021,-124.1637,67.19,78,100,1.01,overcast clouds
151,Bambous Virieux,MU,-20.3428,57.7575,68.22,72,11,10.63,few clouds
152,Georgetown,MY,5.4112,100.3354,81.23,80,20,0.0,few clouds
153,Naryan-Mar,RU,67.6713,53.087,43.3,91,100,16.96,overcast clouds
154,Nanortalik,GL,60.1432,-45.2371,37.44,71,100,8.61,overcast clouds
155,Murgab,TM,37.4966,61.9714,69.37,37,47,6.96,scattered clouds
156,Liuzhou,CN,24.3126,109.3892,70.38,38,62,14.97,broken clouds
157,Sile,TR,41.1754,29.6133,63.57,71,89,7.0,overcast clouds
158,Potsdam,DE,52.3989,13.0657,72.28,83,68,5.59,broken clouds
159,Tucumcari,US,35.1717,-103.725,53.44,82,100,5.75,overcast clouds
160,Suzdal,RU,56.4281,40.4414,45.23,84,99,15.37,overcast clouds
161,Fairbanks,US,64.8378,-147.7164,33.22,86,75,1.99,fog
162,Chuy,UY,-33.6971,-53.4616,63.36,71,58,18.12,broken clouds
163,Koumac,NC,-20.5667,164.2833,71.91,81,40,7.4,scattered clouds
164,Orocue,CO,4.7912,-71.3354,89.37,50,64,6.51,broken clouds
165,Blagoyevo,RU,63.3667,47.9167,44.19,92,100,9.24,overcast clouds
166,Road Town,VG,18.4167,-64.6167,86.04,74,40,8.05,scattered clouds
167,Fortuna,US,40.5982,-124.1573,66.92,72,20,5.75,few clouds
168,Odweyne,SO,9.4092,45.064,75.78,49,78,11.77,broken clouds
169,Juntas,CR,10.2809,-84.9595,83.62,78,97,3.13,overcast clouds
170,Vestmannaeyjar,IS,63.4427,-20.2734,41.99,87,0,2.3,clear sky
171,Sijunjung,ID,-0.6876,100.9537,72.21,94,97,1.72,overcast clouds
172,Beloha,MG,-25.1667,45.05,70.07,81,2,19.82,clear sky
173,Bethel,US,41.3712,-73.414,65.93,84,100,6.91,overcast clouds
174,Pekan,MY,3.4836,103.3996,75.72,95,99,4.16,moderate rain
175,Barranca,PE,-10.75,-77.7667,65.61,71,84,9.78,broken clouds
176,Mount Gambier,AU,-37.8333,140.7667,45.36,90,100,4.92,overcast clouds
177,Cidreira,BR,-30.1811,-50.2056,64.15,88,52,14.83,broken clouds
178,The Valley,AI,18.217,-63.0578,87.1,72,27,8.3,scattered clouds
179,Provideniya,RU,64.3833,-173.3,27.72,86,100,6.42,overcast clouds
180,Port Hardy,CA,50.6996,-127.4199,56.53,83,83,6.82,broken clouds
181,Muzhi,RU,65.3667,64.6667,34.86,94,21,7.52,few clouds
182,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,52,9.75,broken clouds
183,Luderitz,NA,-26.6481,15.1594,61.5,79,3,10.27,clear sky
184,Lagunas,PE,-5.2269,-75.6753,92.12,44,93,2.62,overcast clouds
185,Amahai,ID,-3.3333,128.9167,78.46,86,59,2.82,broken clouds
186,Mitsamiouli,KM,-11.3847,43.2844,75.79,76,40,3.22,scattered clouds
187,Saint Anthony,US,45.0205,-93.218,38.35,47,75,23.02,broken clouds
188,Qandala,SO,11.472,49.8728,80.55,67,2,6.22,clear sky
189,Rioja,AR,-29.4111,-66.8507,70.93,49,80,11.25,broken clouds
190,Wasilla,US,61.5814,-149.4394,44.06,77,100,10.36,light rain
191,Sandpoint,US,48.2766,-116.5533,70.72,47,0,6.91,haze
192,Arcachon,FR,44.5875,-1.0519,71.92,78,0,2.3,clear sky
193,San Patricio,US,28.017,-97.5169,76.89,69,97,16.46,overcast clouds
194,Rawson,AR,-43.3002,-65.1023,69.35,39,52,16.2,broken clouds
