City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
111,Gidam,18.9833,81.4,72.81,94,99,1.01,IN,2022-10-12 15:48:50
112,Yar-Sale,66.8333,70.8333,37.56,79,72,4.9,RU,2022-10-12 15:48:50
113,Chumikan,54.7183,135.315,40.8,65,98,20.11,RU,2022-10-12 15:48:50
114,Aksu,41.1231,80.2644,54.81,32,2,7.45,CN,2022-10-12 15:48:51
115,Salto,-31.3833,-57.9667,73.56,33,0,4.47,UY,2022-10-12 15:48:51
116,Bonavista,48.6499,-53.1147,48.51,69,69,9.46,CA,2022-10-12 15:48:52
117,Namibe,-15.1961,12.1522,72.86,78,6,9.6,AO,2022-10-12 15:48:52
118,Sijunjung,-0.6876,100.9537,72.79,95,100,1.99,ID,2022-10-12 15:48:52
119,Karpathos,35.507,27.2132,71.56,68,20,27.63,GR,2022-10-12 15:48:53
120,Hovd,48.0056,91.6419,38.08,35,12,2.04,MN,2022-10-12 15:48:53
121,Barhi,23.9,80.8,73.09,85,30,3.02,IN,2022-10-12 15:48:53
122,Cape Town,-33.9258,18.4232,68.88,73,20,20.71,ZA,2022-10-12 15:47:10
123,Luba,3.4568,8.5547,84.09,88,78,7.25,GQ,2022-10-12 15:48:54
124,Fortuna,40.5982,-124.1573,48.54,51,0,1.05,US,2022-10-12 15:48:51
125,Bredasdorp,-34.5322,20.0403,67.23,70,16,8.48,ZA,2022-10-12 15:48:55
126,Half Moon Bay,37.4636,-122.4286,60.87,91,100,5.75,US,2022-10-12 15:47:15
127,Muros,42.7762,-9.0603,75.83,63,54,11.59,ES,2022-10-12 15:48:55
128,Mehamn,71.0357,27.8492,46.35,81,75,19.57,NO,2022-10-12 15:48:56
129,Bonfim,3.0833,-59.95,92.46,44,37,2.95,BR,2022-10-12 15:48:56
130,Pimentel,-6.8367,-79.9342,68.29,68,40,6.91,PE,2022-10-12 15:48:56
131,Nadapuram,11.7,75.6667,77.2,88,97,2.17,IN,2022-10-12 15:48:57
132,Thinadhoo,0.5333,72.9333,81.46,78,84,14.65,MV,2022-10-12 15:48:57
133,Lufilufi,-13.8745,-171.5986,74.98,78,96,12.93,WS,2022-10-12 15:48:58
134,Mahebourg,-20.4081,57.7,72.25,73,75,11.5,MU,2022-10-12 15:48:58
135,Castro,-24.7911,-50.0119,64.09,86,100,7.38,BR,2022-10-12 15:48:58
136,Vestmannaeyjar,63.4427,-20.2734,47.39,76,20,9.22,IS,2022-10-12 15:48:59
137,Padang,-0.9492,100.3543,77.05,84,96,3.13,ID,2022-10-12 15:48:59
138,Kodiak,57.79,-152.4072,42.31,56,100,14.97,US,2022-10-12 15:49:00
139,Ancud,-41.8697,-73.8203,48.94,60,67,18.41,CL,2022-10-12 15:49:00
140,Ribeira Grande,38.5167,-28.7,75.6,73,40,7.0,PT,2022-10-12 15:50:01
141,Norman Wells,65.282,-126.8329,17.64,93,75,2.3,CA,2022-10-12 15:50:01
142,Emba,48.8264,58.1442,53.96,43,76,4.54,KZ,2022-10-12 15:50:02
143,Heihe,50.2441,127.4902,50.58,61,100,7.76,CN,2022-10-12 15:50:04
144,Salinopolis,-0.6136,-47.3561,83.97,71,98,13.47,BR,2022-10-12 15:45:59
145,Bonthe,7.5264,-12.505,77.11,82,100,11.05,SL,2022-10-12 15:50:05
146,Ulaangom,49.9811,92.0667,39.7,62,92,1.34,MN,2022-10-12 15:50:05
147,Upernavik,72.7868,-56.1549,16.14,73,27,5.32,GL,2022-10-12 15:50:06
148,Adrar,20.5022,-10.0711,97.21,17,99,11.54,MR,2022-10-12 15:50:06
149,Saint-Francois,46.4154,3.9054,69.24,64,20,3.44,FR,2022-10-12 15:50:07
150,Opuwo,-18.0607,13.84,94.19,9,89,9.17,NA,2022-10-12 15:50:07
151,Chuy,-33.6971,-53.4616,66.61,44,0,6.11,UY,2022-10-12 15:50:08
152,Portland,45.5234,-122.6762,60.69,84,20,4.0,US,2022-10-12 15:49:42
153,The Pas,53.8251,-101.2541,37.42,70,100,26.46,CA,2022-10-12 15:46:06
154,Khorixas,-20.3667,14.9667,95.67,8,76,9.06,NA,2022-10-12 15:50:08
155,Jamestown,42.097,-79.2353,64.02,50,100,8.01,US,2022-10-12 15:50:09
156,Kyle,29.9984,-97.8715,84.33,76,20,13.8,US,2022-10-12 15:50:09
157,Dodoma,-6.1722,35.7395,80.51,32,0,13.8,TZ,2022-10-12 15:50:10
158,Sao Filipe,14.8961,-24.4956,81.09,77,2,6.89,CV,2022-10-12 15:50:10
159,Lebu,-37.6167,-73.65,53.98,66,93,11.3,CL,2022-10-12 15:50:10
160,Faanui,-16.4833,-151.75,78.1,77,8,15.26,PF,2022-10-12 15:50:11
161,Nhulunbuy,-12.2333,136.7667,79.41,89,24,0.0,AU,2022-10-12 15:50:11
162,Kailua,21.4022,-157.7394,76.98,88,40,1.01,US,2022-10-12 15:48:09
163,Uniontown,39.9001,-79.7164,68.94,46,100,1.99,US,2022-10-12 15:50:12
164,Kyren,51.6828,102.1408,37.92,60,19,3.51,RU,2022-10-12 15:50:12
165,Logansport,40.7545,-86.3567,66.85,55,40,13.8,US,2022-10-12 15:50:13
166,Gushikawa,26.3544,127.8686,76.23,81,75,5.75,JP,2022-10-12 15:50:13
167,Okhotsk,59.3833,143.3,30.22,70,0,12.03,RU,2022-10-12 15:50:13
168,Poum,-20.2333,164.0167,75.42,74,17,8.7,NC,2022-10-12 15:50:14
169,Olinda,-8.0089,-34.8553,82.13,65,40,13.8,BR,2022-10-12 15:45:53
170,Ilek,51.5271,53.3831,51.21,82,88,8.61,RU,2022-10-12 15:50:14
171,Izhma,65.0083,53.9113,42.73,81,81,7.78,RU,2022-10-12 15:50:15
172,Cidreira,-30.1811,-50.2056,65.62,79,100,6.69,BR,2022-10-12 15:50:15
173,Viedma,-40.8135,-62.9967,67.73,25,62,16.33,AR,2022-10-12 15:45:47
174,Shu,43.5983,73.7614,58.23,18,0,3.8,KZ,2022-10-12 15:50:16
175,Boa Vista,2.8197,-60.6733,85.98,62,75,5.75,BR,2022-10-12 15:50:16
176,Kruisfontein,-34.0033,24.7314,69.89,70,100,10.18,ZA,2022-10-12 15:50:16
177,Uyuni,-20.4597,-66.825,51.39,8,0,20.38,BO,2022-10-12 15:50:17
178,Erdenet,49.0333,104.0833,33.3,64,14,4.72,MN,2022-10-12 15:50:17
179,Sao Miguel Do Araguaia,-13.275,-50.1628,100.74,16,16,10.63,BR,2022-10-12 15:50:17
180,Kortkeros,61.8106,51.5806,42.8,87,100,3.76,RU,2022-10-12 15:50:18
181,Ardakan,32.31,54.0175,79.59,12,0,4.21,IR,2022-10-12 15:50:18
182,Coquimbo,-29.9533,-71.3436,60.53,72,20,6.91,CL,2022-10-12 15:50:19
183,Lompoc,34.6391,-120.4579,60.53,97,100,1.99,US,2022-10-12 15:50:19
184,Sai Buri,6.7013,101.6168,78.04,85,100,5.12,TH,2022-10-12 15:50:19
185,East London,-33.0153,27.9116,70.74,88,75,10.36,ZA,2022-10-12 15:51:20
186,San Patricio,28.017,-97.5169,88.88,61,3,5.84,US,2022-10-12 15:51:20
187,Pemangkat,1.1667,108.9667,79.45,83,100,8.32,ID,2022-10-12 15:51:21
188,Champasak,14.75,106.0,71.26,89,95,1.83,LA,2022-10-12 15:51:21
189,Paka,4.6374,103.4368,78.73,94,100,0.0,MY,2022-10-12 15:51:22
190,Codrington,-38.2667,141.9667,53.02,96,100,3.29,AU,2022-10-12 15:51:22
191,Chokurdakh,70.6333,147.9167,3.45,91,43,4.83,RU,2022-10-12 15:51:22
192,Zabid,14.1951,43.3152,89.02,54,5,6.4,YE,2022-10-12 15:51:23
193,Nouadhibou,20.931,-17.0347,87.78,42,70,10.36,MR,2022-10-12 15:51:23
194,Bambous Virieux,-20.3428,57.7575,72.21,73,75,11.5,MU,2022-10-12 15:51:24
195,Hermanus,-34.4187,19.2345,68.81,88,16,9.46,ZA,2022-10-12 15:51:24
196,Magrath,49.4167,-112.8686,44.92,70,36,8.05,CA,2022-10-12 15:51:24
197,Yendi,9.4427,-0.0099,89.73,54,14,2.84,GH,2022-10-12 15:51:25
198,Puerto Ayacucho,5.6639,-67.6236,88.39,60,43,2.1,VE,2022-10-12 15:51:25
199,Komsomolskiy,40.4272,71.7189,59.72,44,0,4.61,UZ,2022-10-12 15:51:25
200,Ejura,7.3856,-1.3562,85.32,68,60,4.29,GH,2022-10-12 15:51:26
201,Luderitz,-26.6481,15.1594,65.34,73,97,11.74,NA,2022-10-12 15:51:26
202,Juneau,58.3019,-134.4197,49.21,97,100,12.66,US,2022-10-12 15:50:59
203,Port Hardy,50.6996,-127.4199,39.38,100,20,2.3,CA,2022-10-12 15:51:27
204,Kurush,41.2841,47.8345,34.29,91,96,8.63,RU,2022-10-12 15:51:27
205,Yellowknife,62.456,-114.3525,32.56,59,75,23.02,CA,2022-10-12 15:49:00
